Date,Price,Open,High,Low,Vol.,Change %
2013-03-27,3256.52,3230.76,3258.26,3227.02,316.13M,0.12%
2013-03-26,3252.48,3249.95,3252.93,3239.92,306.78M,0.53%
2013-03-25,3235.30,3255.85,3263.63,3222.48,380.23M,-0.30%
2013-03-22,3245.00,3235.30,3247.94,3230.86,354.60M,0.70%
2013-03-21,3222.60,3228.17,3237.57,3215.69,360.38M,-0.97%
2013-03-20,3254.19,3251.91,3257.99,3240.90,348.77M,0.78%
2013-03-19,3229.10,3246.70,3252.60,3205.42,371.62M,-0.26%
2013-03-18,3237.59,3215.71,3249.37,3211.10,352.52M,-0.35%
2013-03-15,3249.07,3260.46,3260.62,3242.65,872.86M,-0.30%
2013-03-14,3258.93,3253.00,3258.93,3250.24,364.80M,0.43%
2013-03-13,3245.12,3243.04,3251.45,3230.62,340.77M,0.09%
2013-03-12,3242.32,3244.85,3249.78,3229.92,366.79M,-0.32%
2013-03-11,3252.87,3237.74,3252.87,3233.67,346.20M,0.26%
2013-03-08,3244.37,3245.85,3248.70,3227.89,354.70M,0.38%
2013-03-07,3232.09,3224.50,3235.10,3221.47,365.78M,0.30%
2013-03-06,3222.37,3233.31,3233.44,3217.67,377.54M,-0.05%
2013-03-05,3224.13,3200.38,3227.31,3200.27,418.69M,1.32%
2013-03-04,3182.03,3159.46,3182.27,3154.79,397.77M,0.39%
2013-03-01,3169.74,3143.54,3171.50,3129.40,431.39M,0.30%
2013-02-28,3160.19,3161.43,3182.60,3159.72,540.44M,-0.07%
2013-02-27,3162.26,3129.72,3177.80,3127.27,396.96M,1.04%
2013-02-26,3129.65,3126.23,3135.57,3105.36,430.03M,0.43%
2013-02-25,3116.25,3180.59,3186.25,3116.25,456.01M,-1.44%
2013-02-22,3161.82,3149.09,3161.82,3139.55,359.90M,0.97%
2013-02-21,3131.49,3154.88,3155.19,3118.62,441.00M,-1.04%
2013-02-20,3164.41,3211.99,3213.25,3163.95,459.79M,-1.53%
2013-02-19,3213.59,3197.46,3213.60,3194.92,407.53M,0.68%
2013-02-15,3192.03,3202.84,3206.21,3184.03,480.04M,-0.21%
2013-02-14,3198.66,3182.74,3202.33,3182.39,415.06M,0.06%
2013-02-13,3196.88,3195.34,3205.52,3187.06,404.45M,0.33%
2013-02-12,3186.49,3190.73,3196.92,3184.84,404.99M,-0.17%
2013-02-11,3192.00,3192.53,3194.01,3182.19,325.43M,-0.06%
2013-02-08,3193.87,3178.06,3196.89,3177.18,383.64M,0.91%
2013-02-07,3165.13,3167.44,3170.42,3135.98,414.27M,-0.11%
2013-02-06,3168.48,3159.38,3174.82,3157.35,414.86M,-0.10%
2013-02-05,3171.58,3140.90,3178.52,3136.82,433.50M,1.29%
2013-02-04,3131.17,3161.72,3169.63,3130.57,433.02M,-1.51%
2013-02-01,3179.10,3162.94,3183.14,3154.91,470.01M,1.18%
2013-01-31,3142.13,3140.67,3154.18,3136.82,520.15M,-0.01%
2013-01-30,3142.31,3157.43,3164.06,3135.83,439.35M,-0.36%
2013-01-29,3153.66,3149.62,3156.94,3133.11,423.35M,-0.02%
2013-01-28,3154.30,3152.17,3161.83,3144.89,383.49M,0.15%
2013-01-25,3149.71,3140.65,3156.20,3135.86,409.49M,0.62%
2013-01-24,3130.38,3125.67,3153.56,3124.45,427.84M,-0.74%
2013-01-23,3153.67,3155.82,3161.06,3149.74,359.68M,0.33%
2013-01-22,3143.18,3135.63,3143.18,3121.54,379.22M,0.27%
2013-01-18,3134.71,3127.91,3134.73,3119.20,486.02M,-0.04%
2013-01-17,3136.00,3130.49,3144.05,3125.79,375.20M,0.59%
2013-01-16,3117.54,3110.72,3124.65,3106.79,352.34M,0.22%
2013-01-15,3110.78,3101.06,3112.29,3093.32,374.30M,-0.22%
2013-01-14,3117.50,3113.65,3123.48,3104.08,386.85M,-0.26%
2013-01-11,3125.64,3122.12,3126.59,3114.10,342.67M,0.12%
2013-01-10,3121.76,3125.64,3127.72,3098.47,353.22M,0.51%
2013-01-09,3105.81,3099.65,3111.22,3096.34,353.26M,0.45%
2013-01-08,3091.81,3098.46,3103.39,3076.60,372.48M,-0.23%
2013-01-07,3098.81,3089.17,3102.35,3083.88,349.04M,-0.09%
2013-01-04,3101.66,3100.88,3108.44,3090.81,366.40M,0.04%
2013-01-03,3100.57,3108.49,3118.18,3092.28,379.34M,-0.38%
2013-01-02,3112.26,3091.33,3112.65,3083.49,482.50M,3.07%
2012-12-31,3019.51,2955.45,3021.41,2953.52,374.05M,2.00%
2012-12-28,2960.31,2965.12,2985.47,2959.37,257.63M,-0.86%
2012-12-27,2985.91,2989.87,2993.66,2951.04,283.95M,-0.14%
2012-12-26,2990.16,3013.13,3018.65,2983.35,227.33M,-0.74%
2012-12-24,3012.60,3013.89,3016.18,3008.53,146.53M,-0.28%
2012-12-21,3021.01,2998.60,3022.19,2995.13,1.08B,-0.96%
2012-12-20,3050.39,3050.30,3053.53,3034.15,367.04M,0.20%
2012-12-19,3044.36,3059.03,3061.82,3044.36,407.37M,-0.33%
2012-12-18,3054.53,3020.82,3056.65,3016.40,424.90M,1.46%
2012-12-17,3010.60,2975.50,3011.22,2973.54,414.46M,1.32%
2012-12-14,2971.33,2976.95,2985.33,2963.80,378.69M,-0.70%
2012-12-13,2992.16,3007.83,3026.51,2982.63,382.58M,-0.72%
2012-12-12,3013.81,3033.93,3035.19,3008.49,365.55M,-0.28%
2012-12-11,3022.30,3005.43,3033.14,3003.82,426.18M,1.18%
2012-12-10,2986.96,2973.19,2997.64,2971.56,331.96M,0.30%
2012-12-07,2978.04,2999.69,3003.27,2968.82,337.01M,-0.38%
2012-12-06,2989.27,2967.99,2996.53,2962.02,364.11M,0.52%
2012-12-05,2973.70,2993.20,2994.73,2958.26,396.20M,-0.77%
2012-12-04,2996.69,3000.44,3002.90,2980.93,391.21M,-0.18%
2012-12-03,3002.20,3029.21,3030.28,2999.57,371.18M,-0.27%
2012-11-30,3010.24,3013.25,3014.25,2999.72,655.38M,-0.06%
2012-11-29,3012.03,3005.41,3017.18,2996.30,380.10M,0.68%
2012-11-28,2991.78,2952.02,2992.17,2935.88,411.77M,0.81%
2012-11-27,2967.79,2974.56,2985.32,2965.13,394.72M,-0.30%
2012-11-26,2976.78,2961.02,2976.93,2951.73,379.66M,0.33%
2012-11-23,2966.85,2943.62,2967.19,2940.68,182.64M,1.38%
2012-11-21,2926.55,2919.14,2928.17,2912.42,287.91M,0.34%
2012-11-20,2916.68,2910.73,2919.96,2893.38,350.53M,0.02%
2012-11-19,2916.07,2886.00,2916.07,2884.75,402.06M,2.21%
2012-11-16,2853.13,2838.90,2859.57,2810.80,555.84M,0.57%
2012-11-15,2836.94,2847.84,2855.64,2826.75,446.32M,-0.35%
2012-11-14,2846.81,2896.81,2900.10,2842.86,481.76M,-1.29%
2012-11-13,2883.89,2880.77,2909.00,2877.06,417.56M,-0.70%
2012-11-12,2904.25,2916.38,2920.01,2896.55,297.28M,-0.02%
2012-11-09,2904.87,2892.57,2931.11,2889.81,417.31M,0.32%
2012-11-08,2895.58,2942.09,2949.70,2895.58,438.16M,-1.42%
2012-11-07,2937.29,2976.46,2977.81,2926.79,478.33M,-2.48%
2012-11-06,3011.93,3003.71,3024.44,2998.93,402.49M,0.41%
2012-11-05,2999.66,2983.03,3004.87,2975.85,340.04M,0.59%
2012-11-02,2982.13,3033.85,3033.85,2981.69,419.05M,-1.26%
2012-11-01,3020.06,2987.54,3021.94,2984.22,455.18M,1.44%
2012-10-31,2977.23,2986.85,2989.70,2964.94,445.44M,-0.36%
2012-10-26,2987.95,2986.05,2999.14,2961.16,408.11M,0.06%
2012-10-25,2986.12,3005.04,3007.71,2975.98,428.33M,0.15%
2012-10-24,2981.70,3011.82,3012.95,2978.73,448.43M,-0.29%
2012-10-23,2990.46,2989.44,3006.59,2974.07,408.04M,-0.88%
2012-10-22,3016.96,3005.62,3020.61,2995.78,366.63M,0.38%
2012-10-19,3005.62,3066.56,3066.56,3000.27,581.82M,-2.19%
2012-10-18,3072.87,3097.77,3102.56,3065.24,435.10M,-1.01%
2012-10-17,3104.12,3091.38,3112.45,3088.05,405.95M,0.10%
2012-10-16,3101.17,3073.21,3102.97,3070.25,368.67M,1.21%
2012-10-15,3064.18,3053.21,3066.31,3037.27,360.45M,0.66%
2012-10-12,3044.11,3049.08,3061.77,3039.58,347.09M,-0.17%
2012-10-11,3049.41,3075.89,3078.08,3047.14,351.38M,-0.08%
2012-10-10,3051.78,3066.25,3071.57,3046.78,358.01M,-0.43%
2012-10-09,3065.02,3108.01,3108.01,3062.52,350.43M,-1.52%
2012-10-08,3112.35,3121.33,3125.49,3107.57,348.25M,-0.76%
2012-10-05,3136.19,3161.21,3171.46,3130.76,348.18M,-0.42%
2012-10-04,3149.46,3142.38,3153.48,3132.56,356.33M,0.45%
2012-10-03,3135.23,3130.85,3142.36,3115.04,371.29M,0.49%
2012-10-02,3120.04,3127.73,3131.64,3101.64,354.15M,0.21%
2012-10-01,3113.53,3130.31,3146.99,3103.89,404.69M,-0.09%
2012-09-28,3116.23,3125.31,3132.51,3109.91,463.49M,-0.65%
2012-09-27,3136.60,3105.87,3142.02,3098.46,393.32M,1.39%
2012-09-26,3093.70,3113.40,3114.54,3080.28,391.16M,-0.77%
2012-09-25,3117.73,3170.37,3176.30,3117.73,439.32M,-1.36%
2012-09-24,3160.78,3155.35,3167.74,3150.71,387.10M,-0.60%
2012-09-21,3179.96,3194.86,3196.93,3178.09,907.65M,0.13%
2012-09-20,3175.96,3166.84,3178.45,3156.46,395.26M,-0.21%
2012-09-19,3182.62,3179.04,3189.35,3170.29,403.83M,0.15%
2012-09-18,3177.80,3173.62,3179.37,3169.41,371.46M,-0.03%
2012-09-17,3178.67,3183.40,3183.40,3168.63,349.08M,-0.17%
2012-09-14,3183.95,3166.24,3195.67,3164.26,459.32M,0.89%
2012-09-13,3155.83,3117.66,3167.63,3112.62,444.32M,1.33%
2012-09-12,3114.31,3115.33,3120.12,3098.82,358.66M,0.32%
2012-09-11,3104.53,3105.01,3117.86,3099.10,340.71M,0.02%
2012-09-10,3104.02,3131.34,3133.89,3102.76,349.41M,-1.03%
2012-09-07,3136.42,3133.22,3139.61,3128.17,444.78M,0.02%
2012-09-06,3135.81,3087.94,3135.81,3087.67,444.53M,2.17%
2012-09-05,3069.27,3072.57,3082.75,3062.54,359.62M,-0.19%
2012-09-04,3075.06,3063.25,3082.26,3040.24,361.57M,0.26%
2012-08-31,3066.96,3069.64,3078.52,3040.59,377.44M,0.60%
2012-08-30,3048.71,3066.73,3067.54,3045.92,290.31M,-1.05%
2012-08-29,3081.19,3078.05,3087.24,3067.62,287.41M,0.13%
2012-08-28,3077.14,3069.40,3083.19,3063.65,315.42M,0.13%
2012-08-27,3073.19,3083.62,3085.81,3068.13,325.26M,0.11%
2012-08-24,3069.79,3045.22,3076.80,3042.22,315.45M,0.54%
2012-08-23,3053.40,3065.82,3070.34,3045.52,339.91M,-0.66%
2012-08-22,3073.67,3059.94,3080.73,3053.43,347.83M,0.21%
2012-08-21,3067.26,3085.25,3100.54,3058.74,380.18M,-0.29%
2012-08-20,3076.21,3072.66,3076.21,3059.90,341.40M,-0.01%
2012-08-17,3076.59,3067.11,3076.72,3060.15,411.83M,0.46%
2012-08-16,3062.39,3037.18,3067.44,3033.28,445.28M,1.04%
2012-08-15,3030.93,3013.33,3032.06,3013.33,364.14M,0.46%
2012-08-14,3016.98,3032.67,3034.16,3009.93,371.46M,-0.18%
2012-08-13,3022.52,3018.27,3023.03,2999.12,318.82M,0.05%
2012-08-10,3020.86,3008.83,3020.86,3003.38,358.01M,0.07%
2012-08-09,3018.64,3009.86,3022.69,3007.30,388.40M,0.25%
2012-08-08,3011.25,3003.77,3018.90,3002.41,398.15M,-0.15%
2012-08-07,3015.86,3002.66,3028.61,3002.09,450.34M,0.87%
2012-08-06,2989.91,2978.16,3000.24,2974.23,383.93M,0.74%
2012-08-03,2967.90,2951.28,2977.41,2945.81,432.04M,2.00%
2012-08-02,2909.77,2900.46,2934.65,2890.85,471.22M,-0.36%
2012-08-01,2920.21,2956.72,2958.28,2917.78,475.21M,-0.66%
2012-07-31,2939.52,2945.08,2959.62,2938.41,478.61M,-0.21%
2012-07-30,2945.84,2959.07,2970.30,2939.04,359.90M,-0.41%
2012-07-27,2958.09,2906.50,2961.87,2900.98,518.94M,2.24%
2012-07-26,2893.25,2896.68,2905.57,2876.01,485.68M,1.37%
2012-07-25,2854.24,2856.78,2870.22,2839.76,456.73M,-0.31%
2012-07-24,2862.99,2894.95,2896.56,2847.22,451.96M,-0.94%
2012-07-23,2890.15,2877.51,2898.05,2852.88,408.47M,-1.20%
2012-07-20,2925.30,2957.02,2957.02,2925.30,543.62M,-1.37%
2012-07-19,2965.90,2961.71,2976.22,2952.42,431.69M,0.79%
2012-07-18,2942.60,2904.24,2951.30,2902.95,446.54M,1.12%
2012-07-17,2910.04,2911.46,2916.61,2871.65,439.22M,0.45%
2012-07-16,2896.94,2903.03,2910.20,2888.01,342.89M,-0.40%
2012-07-13,2908.47,2874.06,2913.28,2873.39,343.99M,1.48%
2012-07-12,2866.19,2867.08,2876.32,2837.72,442.27M,-0.75%
2012-07-11,2887.98,2898.77,2905.51,2866.53,434.69M,-0.49%
2012-07-10,2902.33,2945.35,2953.47,2891.42,435.82M,-1.00%
2012-07-09,2931.77,2934.49,2942.99,2919.04,380.94M,-0.19%
2012-07-06,2937.33,2955.20,2957.50,2921.37,366.47M,-1.30%
2012-07-05,2976.12,2970.37,2987.94,2958.30,367.29M,0.00%
2012-07-03,2976.08,2950.81,2976.08,2948.40,262.39M,0.84%
2012-07-02,2951.23,2938.41,2951.23,2925.71,460.18M,0.55%
2012-06-29,2935.05,2902.44,2935.13,2895.60,569.18M,3.00%
2012-06-28,2849.49,2853.89,2855.74,2818.19,474.68M,-0.90%
2012-06-27,2875.32,2862.13,2882.40,2860.13,403.14M,0.74%
2012-06-26,2854.06,2845.40,2862.15,2832.02,401.86M,0.63%
2012-06-25,2836.16,2863.89,2863.89,2829.23,401.02M,-1.95%
2012-06-22,2892.42,2866.17,2894.35,2863.93,1.09B,1.17%
2012-06-21,2859.09,2929.15,2930.93,2857.10,466.65M,-2.44%
2012-06-20,2930.45,2932.96,2942.28,2910.00,400.04M,0.02%
2012-06-19,2929.76,2909.87,2940.23,2908.45,454.48M,1.19%
2012-06-18,2895.33,2872.49,2903.03,2853.86,412.12M,0.78%
2012-06-15,2872.80,2839.40,2874.38,2837.94,774.69M,1.29%
2012-06-14,2836.33,2820.63,2842.31,2807.55,428.66M,0.63%
2012-06-13,2818.61,2838.12,2853.17,2810.59,419.76M,-0.86%
2012-06-12,2843.07,2815.84,2843.67,2802.38,410.13M,1.19%
2012-06-11,2809.73,2882.49,2882.96,2806.90,403.82M,-1.70%
2012-06-08,2858.42,2823.82,2860.94,2814.80,368.77M,0.97%
2012-06-07,2831.02,2872.05,2873.59,2827.82,444.10M,-0.48%
2012-06-06,2844.72,2796.23,2844.72,2796.23,436.14M,2.40%
2012-06-05,2778.11,2749.35,2781.97,2749.34,415.10M,0.66%
2012-06-04,2760.01,2747.61,2769.93,2726.68,456.97M,0.46%
2012-06-01,2747.48,2810.13,2810.13,2747.24,527.45M,-2.82%
2012-05-31,2827.34,2837.37,2842.43,2801.96,737.07M,-0.35%
2012-05-30,2837.36,2847.27,2847.27,2825.64,441.25M,-1.17%
2012-05-29,2870.99,2853.27,2882.83,2846.68,440.95M,1.18%
2012-05-25,2837.53,2839.74,2846.31,2829.76,335.02M,-0.07%
2012-05-24,2839.38,2856.55,2858.24,2817.62,462.11M,-0.38%
2012-05-23,2850.12,2832.17,2855.35,2795.50,499.20M,0.39%
2012-05-22,2839.08,2853.87,2867.34,2823.22,467.04M,-0.29%
2012-05-21,2847.21,2782.55,2848.83,2774.76,486.21M,2.46%
2012-05-18,2778.79,2814.43,2827.28,2774.45,582.49M,-1.24%
2012-05-17,2813.69,2874.71,2879.22,2813.69,506.33M,-2.10%
2012-05-16,2874.04,2904.67,2913.90,2872.25,484.88M,-0.68%
2012-05-15,2893.76,2902.30,2930.68,2889.39,444.74M,-0.30%
2012-05-14,2902.58,2907.78,2924.89,2898.90,430.21M,-1.06%
2012-05-11,2933.82,2919.35,2960.38,2918.74,421.69M,0.01%
2012-05-10,2933.64,2950.21,2950.21,2923.14,489.46M,-0.04%
2012-05-09,2934.71,2912.41,2948.77,2900.18,509.41M,-0.39%
2012-05-08,2946.27,2939.36,2952.65,2900.06,530.99M,-0.39%
2012-05-07,2957.76,2940.41,2970.20,2939.21,429.48M,0.05%
2012-05-04,2956.34,3001.15,3001.48,2956.34,465.45M,-2.25%
2012-05-03,3024.30,3061.13,3061.38,3016.20,471.78M,-1.16%
2012-05-02,3059.85,3035.07,3061.47,3028.94,447.33M,0.31%
2012-05-01,3050.44,3044.79,3085.40,3041.62,469.88M,0.13%
2012-04-30,3046.36,3060.06,3063.66,3043.25,444.23M,-0.74%
2012-04-27,3069.20,3060.34,3076.44,3043.30,441.28M,0.61%
2012-04-26,3050.61,3029.62,3056.77,3027.79,443.71M,0.69%
2012-04-25,3029.63,3013.65,3031.41,3010.57,453.37M,2.30%
2012-04-24,2961.60,2967.37,2979.08,2950.38,447.85M,-0.30%
2012-04-23,2970.45,2969.00,2973.38,2946.04,459.48M,-1.00%
2012-04-20,3000.45,3023.73,3034.69,2999.01,561.76M,-0.24%
2012-04-19,3007.56,3028.20,3058.72,2994.94,504.69M,-0.79%
2012-04-18,3031.45,3031.82,3045.04,3023.91,407.01M,-0.37%
2012-04-17,3042.82,3002.02,3052.76,2999.49,403.18M,1.82%
2012-04-16,2988.40,3027.57,3027.57,2975.87,417.64M,-0.76%
2012-04-13,3011.33,3045.08,3045.42,3010.77,388.07M,-1.45%
2012-04-12,3055.55,3023.11,3059.26,3020.44,378.72M,1.30%
2012-04-11,3016.46,3020.15,3030.51,3008.75,412.66M,0.84%
2012-04-10,2991.22,3044.67,3055.20,2987.00,508.81M,-1.83%
2012-04-09,3047.08,3037.28,3058.76,3032.22,371.85M,-1.08%
2012-04-05,3080.50,3061.75,3083.38,3061.14,483.01M,0.40%
2012-04-04,3068.09,3085.46,3086.35,3052.58,474.23M,-1.46%
2012-04-03,3113.57,3119.65,3128.25,3097.41,469.96M,-0.20%
2012-04-02,3119.70,3085.94,3123.03,3079.78,454.67M,0.91%
2012-03-30,3091.57,3110.97,3111.55,3079.05,519.08M,-0.12%
2012-03-29,3095.36,3087.25,3099.80,3069.81,449.58M,-0.31%
2012-03-28,3104.96,3123.84,3130.56,3086.93,457.81M,-0.49%
2012-03-27,3120.35,3124.06,3134.17,3119.03,401.79M,-0.07%
2012-03-26,3122.57,3090.52,3122.57,3090.05,400.28M,1.78%
2012-03-23,3067.92,3066.37,3070.93,3044.67,391.25M,0.15%
2012-03-22,3063.32,3055.00,3068.50,3050.70,385.90M,-0.39%
2012-03-21,3075.32,3077.44,3090.08,3069.09,393.08M,0.04%
2012-03-20,3074.15,3060.93,3078.72,3050.82,378.43M,-0.14%
2012-03-19,3078.32,3057.24,3087.10,3050.89,383.48M,0.75%
2012-03-16,3055.26,3058.49,3060.82,3047.69,792.07M,-0.04%
2012-03-15,3056.37,3048.58,3059.81,3037.82,428.06M,0.51%
2012-03-14,3040.73,3042.21,3051.37,3024.73,428.47M,0.03%
2012-03-13,3039.88,3003.71,3039.89,2996.46,436.87M,1.88%
2012-03-12,2983.66,2989.05,2994.10,2973.65,342.13M,-0.16%
2012-03-09,2988.34,2975.09,2993.98,2973.96,403.43M,0.60%
2012-03-08,2970.42,2954.40,2976.05,2945.73,420.62M,1.18%
2012-03-07,2935.69,2922.57,2940.28,2920.54,426.27M,0.87%
2012-03-06,2910.32,2917.52,2921.77,2900.28,495.16M,-1.36%
2012-03-05,2950.48,2969.73,2973.93,2940.52,417.11M,-0.86%
2012-03-02,2976.19,2986.08,2995.97,2968.00,439.35M,-0.43%
2012-03-01,2988.97,2979.11,2996.37,2974.59,491.29M,0.74%
2012-02-29,2966.89,2991.67,3000.11,2961.77,598.32M,-0.67%
2012-02-28,2986.76,2969.25,2988.59,2966.61,473.30M,0.69%
2012-02-27,2966.16,2945.87,2976.08,2933.30,439.74M,0.08%
2012-02-24,2963.75,2963.13,2970.88,2958.82,375.67M,0.23%
2012-02-23,2956.98,2933.16,2958.42,2922.96,438.29M,0.81%
2012-02-22,2933.17,2942.77,2950.37,2929.68,427.36M,-0.52%
2012-02-21,2948.57,2957.30,2965.05,2934.07,454.47M,-0.11%
2012-02-17,2951.78,2958.22,2962.78,2941.55,534.70M,-0.27%
2012-02-16,2959.85,2915.67,2961.38,2912.72,471.61M,1.51%
2012-02-15,2915.83,2943.42,2958.19,2911.33,493.94M,-0.55%
2012-02-14,2931.83,2921.70,2932.08,2911.60,459.08M,0.02%
2012-02-13,2931.39,2926.21,2933.93,2913.89,404.82M,0.95%
2012-02-10,2903.88,2902.00,2910.98,2895.10,441.21M,-0.80%
2012-02-09,2927.23,2922.46,2930.68,2904.51,514.77M,0.39%
2012-02-08,2915.86,2906.59,2918.26,2892.71,476.38M,0.41%
2012-02-07,2904.08,2895.91,2910.27,2885.17,428.83M,0.07%
2012-02-06,2901.99,2892.52,2903.03,2887.33,407.04M,-0.13%
2012-02-03,2905.66,2888.95,2908.13,2885.84,526.72M,1.61%
2012-02-02,2859.68,2854.10,2868.23,2849.40,447.13M,0.40%
2012-02-01,2848.27,2830.10,2855.73,2825.19,540.08M,1.22%
2012-01-31,2813.84,2825.76,2830.45,2798.77,459.38M,0.07%
2012-01-30,2811.94,2790.40,2816.85,2782.44,399.62M,-0.16%
2012-01-27,2816.55,2797.66,2821.55,2797.24,427.28M,0.40%
2012-01-26,2805.28,2828.78,2834.30,2794.78,476.35M,-0.46%
2012-01-25,2818.31,2803.23,2822.79,2788.95,480.46M,1.14%
2012-01-24,2786.64,2771.58,2788.38,2766.34,412.58M,0.09%
2012-01-23,2784.17,2786.21,2804.99,2769.82,391.76M,-0.09%
2012-01-20,2786.70,2776.04,2787.20,2775.87,522.62M,-0.06%
2012-01-19,2788.33,2779.74,2793.35,2777.17,466.59M,0.67%
2012-01-18,2769.71,2731.16,2769.71,2730.05,490.87M,1.53%
2012-01-17,2728.08,2736.34,2742.73,2721.03,441.25M,0.64%
2012-01-13,2710.67,2707.41,2712.93,2689.58,422.13M,-0.51%
2012-01-12,2724.70,2716.87,2726.43,2697.32,403.17M,0.51%
2012-01-11,2710.76,2695.77,2714.29,2690.73,419.72M,0.31%
2012-01-10,2702.50,2704.42,2712.50,2694.33,453.07M,0.97%
2012-01-09,2676.56,2682.98,2683.78,2662.96,447.70M,0.09%
2012-01-06,2674.22,2671.17,2682.12,2658.83,412.31M,0.16%
2012-01-05,2669.86,2642.57,2673.56,2631.23,442.08M,0.81%
2012-01-04,2648.36,2639.90,2653.18,2627.23,411.09M,-0.01%
2012-01-03,2648.72,2657.39,2665.90,2641.98,411.79M,1.67%
2011-12-30,2605.15,2610.23,2616.46,2604.60,290.70M,-0.33%
2011-12-29,2613.74,2596.33,2614.87,2593.04,253.71M,0.92%
2011-12-28,2589.98,2626.19,2626.34,2586.85,267.65M,-1.34%
2011-12-27,2625.20,2613.51,2633.34,2610.77,195.84M,0.25%
2011-12-23,2618.64,2607.43,2618.84,2599.89,219.15M,0.74%
2011-12-22,2599.45,2584.33,2601.99,2581.92,369.20M,0.83%
2011-12-21,2577.97,2589.77,2590.61,2544.66,468.82M,-0.99%
2011-12-20,2603.73,2567.25,2604.52,2566.87,500.76M,3.19%
2011-12-19,2523.14,2564.07,2570.65,2518.01,392.16M,-1.26%
2011-12-16,2555.33,2554.62,2585.42,2548.00,985.01M,0.56%
2011-12-15,2541.01,2565.93,2565.94,2536.58,450.85M,0.07%
2011-12-14,2539.31,2566.21,2568.44,2525.88,483.86M,-1.55%
2011-12-13,2579.27,2629.67,2639.74,2568.44,454.22M,-1.26%
2011-12-12,2612.26,2617.32,2617.32,2591.42,418.20M,-1.31%
2011-12-09,2646.85,2603.18,2653.46,2603.18,418.36M,1.94%
2011-12-08,2596.38,2633.30,2645.92,2592.55,492.48M,-1.99%
2011-12-07,2649.21,2638.61,2660.24,2612.80,433.04M,-0.01%
2011-12-06,2649.56,2655.02,2663.63,2639.18,374.31M,-0.23%
2011-12-05,2655.76,2666.47,2674.53,2641.59,433.48M,1.10%
2011-12-02,2626.93,2650.80,2659.23,2625.07,407.88M,0.03%
2011-12-01,2626.20,2615.67,2636.08,2611.48,445.01M,0.22%
2011-11-30,2620.34,2586.39,2620.34,2582.49,818.73M,4.17%
2011-11-29,2515.51,2529.11,2542.46,2508.27,421.54M,-0.47%
2011-11-28,2527.34,2509.63,2531.32,2507.72,455.18M,3.52%
2011-11-25,2441.51,2453.03,2477.03,2441.48,200.91M,-0.75%
2011-11-23,2460.08,2501.18,2503.38,2460.08,440.00M,-2.43%
2011-11-22,2521.28,2517.64,2534.40,2499.19,441.86M,-0.07%
2011-11-21,2523.14,2535.34,2539.87,2500.89,513.06M,-1.92%
2011-11-18,2572.50,2595.02,2595.84,2567.15,473.35M,-0.60%
2011-11-17,2587.99,2637.37,2637.48,2576.22,555.83M,-1.96%
2011-11-16,2639.61,2661.09,2688.86,2637.91,507.87M,-1.73%
2011-11-15,2686.20,2647.91,2695.87,2644.00,431.67M,1.09%
2011-11-14,2657.22,2671.11,2682.13,2647.48,356.72M,-0.80%
2011-11-11,2678.75,2653.53,2684.67,2649.85,401.44M,2.04%
2011-11-10,2625.15,2652.01,2652.40,2601.79,500.67M,0.13%
2011-11-09,2621.65,2662.56,2672.34,2617.93,575.97M,-3.88%
2011-11-08,2727.49,2712.08,2730.39,2680.93,469.14M,1.20%
2011-11-07,2695.25,2683.38,2697.02,2649.06,440.44M,0.34%
2011-11-04,2686.15,2678.16,2693.67,2655.12,461.04M,-0.44%
2011-11-03,2697.97,2666.21,2699.84,2628.22,550.99M,2.20%
2011-11-02,2639.98,2637.56,2648.46,2613.74,522.79M,1.27%
2011-11-01,2606.96,2607.31,2638.60,2597.16,638.79M,-2.89%
2011-10-31,2684.41,2705.89,2716.70,2684.13,502.70M,-1.93%
2011-10-28,2737.15,2724.03,2742.27,2723.03,480.01M,-0.05%
2011-10-27,2738.63,2720.59,2753.37,2694.27,713.32M,3.32%
2011-10-26,2650.67,2660.42,2666.29,2598.74,556.08M,0.46%
2011-10-25,2638.42,2685.86,2685.88,2633.94,465.59M,-2.26%
2011-10-24,2699.44,2644.83,2703.07,2643.94,468.79M,2.35%
2011-10-21,2637.46,2630.30,2646.92,2611.11,621.70M,1.49%
2011-10-20,2598.62,2605.42,2606.39,2557.17,516.28M,-0.21%
2011-10-19,2604.04,2642.89,2651.88,2597.77,505.56M,-2.01%
2011-10-18,2657.43,2614.05,2667.57,2586.31,524.34M,1.63%
2011-10-17,2614.92,2653.32,2658.25,2606.91,441.27M,-1.98%
2011-10-14,2667.85,2655.23,2667.85,2636.00,412.32M,1.82%
2011-10-13,2620.24,2595.05,2625.22,2588.71,436.76M,0.60%
2011-10-12,2604.73,2606.61,2629.49,2602.31,507.46M,0.84%
2011-10-11,2583.03,2554.70,2587.28,2551.94,420.20M,0.66%
2011-10-10,2566.05,2522.72,2566.05,2519.78,421.84M,3.50%
2011-10-07,2479.35,2509.61,2512.14,2468.60,547.92M,-1.10%
2011-10-06,2506.82,2459.05,2507.44,2446.72,579.84M,1.88%
2011-10-05,2460.51,2398.37,2466.50,2380.96,651.56M,2.32%
2011-10-04,2404.82,2312.68,2406.67,2298.89,845.16M,2.95%
2011-10-03,2335.83,2401.19,2430.88,2335.23,710.58M,-3.29%
